mh_2;mh_1;d;err;phhinit;md_0;md_1;pdhinit;time;vh_1;vd_1;vd_0;rdd;pdh;rhd;rhh;f_1;f_0;phh;vh_2;file
1.275;0.75;0.1;0.02;0.1;0.875;1;0.1;105240;1.07138;0.927994;1.0025;0.541152;0.999944;0.629984;0.540034;0.695785;0.157154;0.00641278;0.986102;iters//iter_freqdep_18_8_2017_214730_552125425
1.275;0.75;0.1;0.02;0.5;0.875;1;0.7;116198;1.07553;0.931589;1.00639;0.541153;0.999944;0.629985;0.540034;0.695786;0.157155;0.00640463;0.989922;iters//iter_freqdep_18_8_2017_214849_689746307
1.275;0.75;1;0.02;0.1;0.875;1;0.1;6553;1.08508;0.938401;1.00844;0;0.496223;0;0;0.524428;0.339369;0.251997;0.851649;iters//iter_freqdep_18_8_2017_214731_549374016
1.275;0.75;1;0.02;0.1;0.875;1;0.6;3023;1.09746;0.94913;1.01997;0;0.598523;0;0;0.524457;0.339301;0.0990119;0.861362;iters//iter_freqdep_18_8_2017_214836_504634878
1.275;0.75;0.1;0.02;0.01;0.875;1;0.7;64831;1.0723;0.928797;1.00337;0.541153;0.999944;0.629984;0.540034;0.695785;0.157154;0.00641095;0.986955;iters//iter_freqdep_18_8_2017_214845_715210406
1.275;0.75;1;0.02;0.01;0.875;1;0.8;13743;1.10393;0.95473;1.02599;0;0.664655;0;0;0.524461;0.339289;6.56468e-05;0.866446;iters//iter_freqdep_18_8_2017_214856_617419187
1.275;0.75;0.5;0.02;0.01;0.875;1;0.2;8768;1.07158;0.928995;1.00887;0.132997;0.999041;0.342363;0.130125;0.644817;0.183906;0.0001;0.927704;iters//iter_freqdep_18_8_2017_214746_427616484
1.275;0.75;0.5;0.02;0.8;0.875;1;0.4;10716;1.11802;0.969253;1.05259;0.132995;0.999046;0.342363;0.130125;0.644817;0.183905;0.0001;0.967906;iters//iter_freqdep_18_8_2017_214821_98476729
1.275;0.75;0.1;0.02;0.9;0.875;1;0.4;122972;1.08874;0.943032;1.01875;0.541156;0.999944;0.629987;0.540033;0.695788;0.157159;0.00638058;1.00208;iters//iter_freqdep_18_8_2017_214821_398444698
1.275;0.75;0.5;0.02;0.3;0.875;1;0.4;9102;1.07651;0.933267;1.01351;0.133;0.999029;0.342362;0.130124;0.644816;0.183909;0.0001;0.93197;iters//iter_freqdep_18_8_2017_214815_982160654
1.275;0.75;0.5;0.02;0.1;0.875;1;0.01;9264;1.07761;0.934221;1.01455;0.133;0.999031;0.342362;0.130125;0.644816;0.183909;0.0001;0.932922;iters//iter_freqdep_18_8_2017_214716_767725696
1.275;0.75;0.5;0.02;0.6;0.875;1;0.5;9754;1.09533;0.949585;1.03123;0.132995;0.999047;0.342363;0.130125;0.644817;0.183904;0.0001;0.948265;iters//iter_freqdep_18_8_2017_214830_134423445
