c;sdmu_h;numgen;v;N;seed;init_pD;mu_h;init_pH;runtime;generation;meanpH;meanpD;varpH;varpD;freq_hawk;file
3;0.02;40000;1;5000;574201594;0.5;0.01;0.7;0;40000;0.28555;0.67316;0.0070496;0.0024756;0.316;./hpcbatch_16_08_2017_230103/core_82/sim_hd_17_8_2017_091043_573877009
5;0.02;40000;1;5000;539182046;0.2;0.01;0.2;0;40000;0.32939;0.82586;0.0033085;0.0099602;0.1836;./hpcbatch_16_08_2017_230103/core_145/sim_hd_17_8_2017_092928_538876026
5;0.02;40000;1;5000;655321855;1;0.01;0.9;0;40000;0.51968;0.88765;0.0035722;0.0049067;0.1854;./hpcbatch_16_08_2017_230103/core_230/sim_hd_17_8_2017_102543_654990727
3;0.02;40000;1;5000;562167372;0.6;0.01;0.3;0;40000;0.50828;0.71284;0.0060737;0.0077984;0.35;./hpcbatch_16_08_2017_230103/core_39/sim_hd_17_8_2017_082858_561786232
3;0.02;40000;1;5000;585661409;0.5;0.01;0.3;0;40000;0.53513;0.69824;0.022667;0.026197;0.3466;./hpcbatch_16_08_2017_230103/core_38/sim_hd_17_8_2017_082813_585322812
5;0.02;40000;1;5000;610573296;0.7;0.01;1;0;40000;0.6057;0.90855;0.019698;0.0027543;0.1934;./hpcbatch_16_08_2017_230103/core_238/sim_hd_17_8_2017_102943_610201705
5;0.02;40000;1;5000;599428648;0.7;0.01;0.3;0;40000;0.18213;0.81304;0.021612;0.0023566;0.188;./hpcbatch_16_08_2017_230103/core_161/sim_hd_17_8_2017_093928_599133582
3;0.02;40000;1;5000;612083608;0.8;0.01;1;0;40000;0.64192;0.82043;0.0091762;0.0038962;0.3336;./hpcbatch_16_08_2017_230103/core_118/sim_hd_17_8_2017_092228_611698682
3;0.02;40000;1;5000;768913539;0;0.01;0.7;0;40000;0.41547;0.69505;0.021827;0.013312;0.3312;./hpcbatch_16_08_2017_230103/core_77/sim_hd_17_8_2017_084413_768510847
3;0.02;40000;1;5000;658986030;0.7;0.01;0.9;0;40000;0.50641;0.75914;0.0045173;0.0017419;0.3264;./hpcbatch_16_08_2017_230103/core_106/sim_hd_17_8_2017_091913_658617151
5;0.02;40000;1;5000;631370839;0.9;0.01;0.8;0;40000;0.51418;0.87115;0.0075621;0.0048034;0.209;./hpcbatch_16_08_2017_230103/core_218/sim_hd_17_8_2017_102158_631034619
3;0.02;40000;1;5000;655667783;0.1;0.01;0.9;0;40000;0.24663;0.63135;0.01552;0.0068841;0.329;./hpcbatch_16_08_2017_230103/core_100/sim_hd_17_8_2017_091728_655359628
5;0.02;40000;1;5000;839402006;0.3;0.01;0.6;0;40000;0.33321;0.85103;0.0022338;0.0034202;0.1844;./hpcbatch_16_08_2017_230103/core_190/sim_hd_17_8_2017_101415_838984260
5;0.02;40000;1;5000;569812852;0.3;0.01;0.4;0;40000;0.18321;0.8022;0.0023265;0.0028318;0.1926;./hpcbatch_16_08_2017_230103/core_168/sim_hd_17_8_2017_100300_569441607
3;0.02;40000;1;5000;614086837;0.4;0.01;0;0;40000;0.27389;0.62181;0.0020536;0.0051729;0.3434;./hpcbatch_16_08_2017_230103/core_4/sim_hd_17_8_2017_081858_613680076
