c;sdmu_h;d;NumGen;v;seed;mu_h;Npatches;runtime;generation;f_0;f_1;f_2;meanphh;meanpdh;varphh;varphd;file
0;0.01;1;100000000000000;0.75;752028719;0.01;4000;0;331264000000;0.13175;0.452;0.41625;0.4999;0.50694;0.043603;0.041851;hpcbatch_09_09_2016_103953/core_79/sim_px_9_9_2016_124519_715541420
0;0.01;0;100000000000000;0.8;813492801;0.01;4000;0;324378000000;0;0.0105;0.9895;0.99405;0.62143;4.374e-05;0.0007771;hpcbatch_09_09_2016_103953/core_80/sim_px_9_9_2016_124522_637500643
0;0.01;0.1;100000000000000;0.8;576564800;0.01;4000;0;323525000000;0;0.00975;0.99025;0.99404;0.73405;4.0381e-05;0.011144;hpcbatch_09_09_2016_103953/core_81/sim_px_9_9_2016_124520_520135323
0;0.01;0.25;100000000000000;0.8;511673955;0.01;4000;0;327862000000;0.0005;0.0105;0.989;0.99244;0.68997;4.9203e-05;0.0019231;hpcbatch_09_09_2016_103953/core_82/sim_px_9_9_2016_124523_353833707
0;0.01;0.5;100000000000000;0.8;949342330;0.01;4000;0;332954000000;0;0.00925;0.99075;0.99154;0.74266;5.2711e-05;0.0022604;hpcbatch_09_09_2016_103953/core_83/sim_px_9_9_2016_124523_905937831
0;0.01;1;100000000000000;0.8;164018907;0.01;4000;0;332276000000;0.1085;0.45175;0.43975;0.49837;0.5133;0.044352;0.041172;hpcbatch_09_09_2016_103953/core_84/sim_px_9_9_2016_124520_135474599
0;0.01;0;100000000000000;0.85;250838421;0.01;4000;0;323424000000;0;0.00875;0.99125;0.99402;0.45635;3.1427e-05;0.00047815;hpcbatch_09_09_2016_103953/core_85/sim_px_9_9_2016_124519_214701250
0;0.01;0.1;100000000000000;0.85;750379728;0.01;4000;0;326026000000;0;0.00775;0.99225;0.99401;0.86298;3.5982e-05;0.002087;hpcbatch_09_09_2016_103953/core_86/sim_px_9_9_2016_124520_694989045
0;0.01;0.25;100000000000000;0.85;786749327;0.01;4000;0;325607000000;0;0.0115;0.9885;0.99144;0.87736;5.9035e-05;0.0021928;hpcbatch_09_09_2016_103953/core_87/sim_px_9_9_2016_124522_625731860
0;0.01;0.5;100000000000000;0.85;301668810;0.01;4000;0;330128000000;0.00025;0.01075;0.989;0.98942;0.8458;0.00010107;0.00090489;hpcbatch_09_09_2016_103953/core_88/sim_px_9_9_2016_124520_277247881
0;0.01;1;100000000000000;0.85;191476903;0.01;4000;0;326723000000;0.0895;0.46225;0.44825;0.49983;0.50645;0.044051;0.04218;hpcbatch_09_09_2016_103953/core_89/sim_px_9_9_2016_124522_116327301
0;0.01;0;100000000000000;0.9;383742835;0.01;4000;0;323893000000;0;0.007;0.993;0.99333;0.64425;4.4609e-05;0.00044653;hpcbatch_09_09_2016_103953/core_90/sim_px_9_9_2016_124524_264182341
0;0.01;0.1;100000000000000;0.9;312530498;0.01;4000;0;435635000000;0;0.008;0.992;0.99248;0.67165;5.4733e-05;0.00055075;hpcbatch_09_09_2016_103953/core_91/sim_px_9_9_2016_124535_273607352
0;0.01;0.25;100000000000000;0.9;215807125;0.01;4000;0;441973000000;0;0.0085;0.9915;0.99074;0.91765;6.9851e-05;0.00063775;hpcbatch_09_09_2016_103953/core_92/sim_px_9_9_2016_124535_179757354
0;0.01;0.5;100000000000000;0.9;395805568;0.01;4000;0;463058000000;0.00025;0.0125;0.98725;0.99032;0.71165;4.8406e-05;0.00054204;hpcbatch_09_09_2016_103953/core_93/sim_px_9_9_2016_124540_337201405
0;0.01;1;100000000000000;0.9;196937131;0.01;4000;0;334046000000;0.06525;0.46675;0.468;0.49704;0.51194;0.042232;0.041529;hpcbatch_09_09_2016_103953/core_94/sim_px_9_9_2016_124542_139477677
0;0.01;0;100000000000000;0.95;25887512;0.01;4000;0;448141000000;0;0.007;0.993;0.99243;0.83372;8.1142e-05;0.00098878;hpcbatch_09_09_2016_103953/core_95/sim_px_9_9_2016_124541_946460516
0;0.01;0.1;100000000000000;0.95;200344975;0.01;4000;0;326179000000;0;0.00975;0.99025;0.99417;0.59073;3.1255e-05;0.0040738;hpcbatch_09_09_2016_103953/core_96/sim_px_9_9_2016_124538_161915694
0;0.01;0.25;100000000000000;0.95;443576782;0.01;4000;0;327624000000;0;0.0065;0.9935;0.9934;0.51768;5.0996e-05;0.0012146;hpcbatch_09_09_2016_103953/core_97/sim_px_9_9_2016_124540_383998439
0;0.01;0.5;100000000000000;0.95;943176939;0.01;4000;0;333016000000;0;0.007;0.993;0.99241;0.96116;4.6473e-05;0.00061486;hpcbatch_09_09_2016_103953/core_98/sim_px_9_9_2016_124542_909734130
0;0.01;1;100000000000000;0.95;326934248;0.01;4000;0;335721000000;0.033;0.47625;0.49075;0.49259;0.51779;0.042095;0.041658;hpcbatch_09_09_2016_103953/core_99/sim_px_9_9_2016_124539_269580316
0;0.01;0;100000000000000;1;295015668;0.01;4000;0;322593000000;0;0.00525;0.99475;0.9939;0.81663;3.8296e-05;0.0043181;hpcbatch_09_09_2016_103953/core_100/sim_px_9_9_2016_124540_259403567
0;0.01;0.1;100000000000000;1;437579242;0.01;4000;0;316749000000;0;0.00775;0.99225;0.99099;0.94549;4.8719e-05;0.0012597;hpcbatch_09_09_2016_103953/core_101/sim_px_9_9_2016_124535_400274419
0;0.01;0.25;100000000000000;1;756235081;0.01;4000;0;315607000000;0;0.00775;0.99225;0.99459;0.69724;3.2024e-05;0.0012256;hpcbatch_09_09_2016_103953/core_102/sim_px_9_9_2016_124538_718074855
0;0.01;0.5;100000000000000;1;252414745;0.01;4000;0;323299000000;0;0.007;0.993;0.99295;0.55064;4.0936e-05;0.00099952;hpcbatch_09_09_2016_103953/core_103/sim_px_9_9_2016_124544_214436601
0;0.01;1;100000000000000;1;173315019;0.01;4000;0;325058000000;0;0.49825;0.50175;0.49041;0.50415;0.042415;0.041638;hpcbatch_09_09_2016_103953/core_104/sim_px_9_9_2016_124543_93576486
0.05;0.01;0;100000000000000;0;110853479;0.01;4000;0;414199000000;0.7165;0.25825;0.02525;0.34488;0.12588;0.0037305;0.0023254;hpcbatch_09_09_2016_103953/core_105/sim_px_9_9_2016_124546_12045777
0.05;0.01;0.1;100000000000000;0;624181562;0.01;4000;0;302514000000;0.77975;0.20675;0.0135;0.19765;0.10909;0.0074044;0.0011894;hpcbatch_09_09_2016_103953/core_106/sim_px_9_9_2016_124541_581172662
0.05;0.01;0.25;100000000000000;0;43572018;0.01;4000;0;307126000000;0.7585;0.21575;0.02575;0.45495;0.083457;0.00070664;0.00073512;hpcbatch_09_09_2016_103953/core_107/sim_px_9_9_2016_124539_987666224
0.05;0.01;0.5;100000000000000;0;256370608;0.01;4000;0;309422000000;0.79975;0.18475;0.0155;0.2484;0.098719;0.0014632;0.0024396;hpcbatch_09_09_2016_103953/core_108/sim_px_9_9_2016_124547_113883752
0.05;0.01;1;100000000000000;0;509596935;0.01;4000;0;316274000000;0.275;0.44575;0.27925;0.49893;0.50297;0.04289;0.043437;hpcbatch_09_09_2016_103953/core_109/sim_px_9_9_2016_124544_403560183
0.05;0.01;0;100000000000000;0.05;664961766;0.01;4000;0;306328000000;0.0175;0.22475;0.75775;0.85123;0.96218;0.00061842;0.00064762;hpcbatch_09_09_2016_103953/core_110/sim_px_9_9_2016_124541_606135052
0.05;0.01;0.1;100000000000000;0.05;315356054;0.01;4000;0;307635000000;0.0045;0.12875;0.86675;0.9306;0.92007;0.0014454;0.00028307;hpcbatch_09_09_2016_103953/core_111/sim_px_9_9_2016_124540_259403316
0.05;0.01;0.25;100000000000000;0.05;859455197;0.01;4000;0;310587000000;0.00925;0.16725;0.8235;0.89756;0.9194;0.0016497;0.0020589;hpcbatch_09_09_2016_103953/core_112/sim_px_9_9_2016_124539_815529591
0.05;0.01;0.5;100000000000000;0.05;571954824;0.01;4000;0;313236000000;0.03575;0.1675;0.79675;0.96489;0.23906;0.00043837;0.0022404;hpcbatch_09_09_2016_103953/core_113/sim_px_9_9_2016_124539_533011580
